id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
162881,2020,camara,41,41,0,0
162881,2021,camara,79,77,0,2
166179,2019,camara,113,104,9,0
166179,2020,camara,102,97,5,0
166179,2021,camara,79,79,0,0
166828,2019,camara,113,92,13,8
166828,2020,camara,102,98,3,1
166828,2021,camara,79,76,1,2
167138,2019,camara,113,93,11,9
167138,2020,camara,102,100,2,0
167138,2021,camara,79,78,1,0
168720,2019,camara,113,113,0,0
168720,2020,camara,102,99,3,0
168720,2021,camara,79,79,0,0
169871,2019,camara,113,101,1,11
169871,2020,camara,102,97,4,1
169871,2021,camara,79,79,0,0
172442,2019,camara,113,90,7,16
172442,2020,camara,102,101,0,1
172442,2021,camara,79,78,0,1
173433,2019,camara,113,108,5,0
173433,2020,camara,102,100,2,0
173433,2021,camara,79,78,1,0
173441,2019,camara,113,107,3,3
173441,2020,camara,102,98,4,0
173441,2021,camara,79,79,0,0
173460,2019,camara,113,111,2,0
173460,2020,camara,102,102,0,0
173460,2021,camara,79,79,0,0
173466,2019,camara,113,98,15,0
173466,2020,camara,102,99,3,0
173466,2021,camara,79,79,0,0
173482,2019,camara,113,109,4,0
173482,2020,camara,102,101,0,1
173482,2021,camara,79,76,2,1
173486,2019,camara,113,99,11,3
173486,2020,camara,102,94,6,2
173486,2021,camara,79,78,0,1
173531,2019,camara,113,107,6,0
173531,2020,camara,102,98,3,1
173531,2021,camara,79,77,0,2
173586,2019,camara,113,102,10,1
173586,2020,camara,102,98,4,0
173586,2021,camara,79,78,1,0
173604,2019,camara,113,112,0,1
173604,2020,camara,102,96,5,1
173604,2021,camara,79,75,1,3
173692,2019,camara,1,1,0,0
173692,2020,camara,96,88,8,0
173692,2021,camara,79,78,1,0
173696,2019,camara,113,98,15,0
173696,2020,camara,102,100,2,0
173696,2021,camara,79,79,0,0
173701,2019,camara,113,105,5,3
173701,2020,camara,102,98,4,0
173701,2021,camara,79,79,0,0
173772,2019,camara,113,113,0,0
173772,2020,camara,102,96,5,1
173772,2021,camara,79,78,0,1
173788,2019,camara,113,98,7,8
173788,2020,camara,102,96,5,1
173788,2021,camara,79,77,2,0
173801,2019,camara,113,108,0,5
173801,2020,camara,102,100,2,0
173801,2021,camara,79,78,1,0
173808,2019,camara,44,33,5,6
173808,2020,camara,102,96,4,2
173808,2021,camara,79,75,0,4
