id_discurso,id_parlamentar_voz,casa,tipo,data,local,resumo,link
1,1121948,camara,PELA ORDEM,2019-04-11,NA,Presença em plenário da jovem cientista Alia Al Mansoori.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=12%2F4%2F2019&txPagina=97&txSuplemento=&enviar=Pesquisar
2,1121948,camara,DISCURSO ENCAMINHADO,2019-08-21,NA,"Transcurso do 38º aniversário de fundação do Município de Chapadão do Céu, Estado de Goiás.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=22%2F8%2F2019&txPagina=24&txSuplemento=&enviar=Pesquisar
3,1121948,camara,DISCURSO ENCAMINHADO,2019-09-25,NA,"Transcurso do 56º aniversário de emancipação político-administrativa do Município de Formoso, Estado de Goiás.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=26%2F9%2F2019&txPagina=192&txSuplemento=&enviar=Pesquisar
4,1121948,camara,PEQUENO EXPEDIENTE,2019-10-24,NA,"Transcurso do 86º aniversário de emancipação político-administrativa de Goiânia, Capital do Estado de Goiás.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=25%2F10%2F2019&txPagina=55&txSuplemento=&enviar=Pesquisar
5,1204495,camara,PELA ORDEM,2019-02-07,NA,"Relato da trajetória de vida do orador. Agradecimento aos eleitores paraenses pelos votos recebidos nas eleições para a Câmara dos Deputados. Matéria veiculada pelo jornal espanhol El País , sucursal do Brasil, sobre a extinção do Programa Mais Médicos.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=8%2F2%2F2019&txPagina=50&txSuplemento=&enviar=Pesquisar
6,1204495,camara,PEQUENO EXPEDIENTE,2019-02-13,NA,Posicionamento do orador contrário à extinção do Programa Mais Médicos.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=14%2F2%2F2019&txPagina=148&txSuplemento=&enviar=Pesquisar
7,1204495,camara,BREVES COMUNICAÇÕES,2019-02-14,NA,Efeitos sobre a produção nacional da suspensão da tarifa antidumping  incidente nas importações de leite da União Europeia.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F2%2F2019&txPagina=19&txSuplemento=&enviar=Pesquisar
8,1204495,camara,PEQUENO EXPEDIENTE,2019-02-14,NA,Contrariedade à proposta de municipalização do Sistema Nacional de Saúde Indígena.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F2%2F2019&txPagina=141&txSuplemento=&enviar=Pesquisar
9,1204495,camara,PELA ORDEM,2019-02-14,NA,Associação ao discurso proferido no plenário a respeito da improdutividade da Casa.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F2%2F2019&txPagina=147&txSuplemento=&enviar=Pesquisar
10,1204495,camara,COMUNICAÇÃO PARLAMENTAR,2019-02-14,NA,Responsabilidade da base governista pelo estabelecimento de diálogo com os partidos oposicionistas para votação de projetos de interesse nacional. Legitimidade dos questionamentos dos Deputados da Oposição diante da veiculação de denúncias de corrupção no Governo Jair Bolsonaro.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F2%2F2019&txPagina=190&txSuplemento=&enviar=Pesquisar
