id_patrimonio,id_parlamentar_voz,casa,ano_eleicao,ds_cargo,ds_tipo_bem,ds_bem,valor_bem
1,1204554,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,18500
2,1204521,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",CDB,323000
3,1204521,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"Rua do Arouche, 144 - Consolação, São Paulo/SP",726613.25
4,1204521,camara,2018,DEPUTADO FEDERAL,Terreno,"Rua Chaves, Lote 16",115000
5,1204379,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,103849.82
6,1204560,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,SALDO EM CONTA BANCÁRIA,1
7,1204560,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,emprestimo feito a luis henrique de araujo almeida,80000
8,1204560,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,dinheiro em especie em mãos.,7504
9,1204560,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,saldo em conta bancária - banco bradesco - ag: 1759 / conta corrente: 34.874-0,11955.46
10,1204560,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",ALBAPREV - PREVIDÊNCIA PRIVADA.,261573.53
11,1204560,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,QUOTAS NA EMPRESA A2 PARTICIPAÇÕES LTDA,40000
12,1204560,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,numerário em mãos.,80000
13,1204560,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,saldo em conta bancária / banco bradesco prime FIC R DI especial - agência 1759 / conta: 34.874-0,233085.16
14,1204560,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,XP INVESTIMENTOS,73885.33
15,1204560,camara,2018,DEPUTADO FEDERAL,OUTROS BENS E DIREITOS,12 cabeças de gado,16100
16,1204560,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,SALDO EM CONTA BANCÁRIA - BANCO BRADESCO - AG: 3571 / CONTA: 94032-1,364.26
17,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,435050.7
18,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,243360
19,1204528,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,46736.47
20,1204528,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,#NULO#,95000
21,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,243360
22,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,50
23,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,6000
24,1204528,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,5000
25,1204528,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,60.18
26,1121948,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,50000
27,1121948,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,30750
28,1121948,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,19090
29,1121948,camara,2018,DEPUTADO FEDERAL,Consórcio não contemplado,#NULO#,3895.58
30,1121948,camara,2018,DEPUTADO FEDERAL,OUTROS BENS E DIREITOS,#NULO#,90000
31,1121948,camara,2018,DEPUTADO FEDERAL,OUTROS BENS E DIREITOS,#NULO#,78900
32,1121948,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,290000
33,1121948,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,52019.49
34,174646,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,25488.61
35,174646,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,125000
36,174646,camara,2018,DEPUTADO FEDERAL,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.",#NULO#,33650
37,174646,camara,2018,DEPUTADO FEDERAL,Ações (inclusive as provenientes de linha telefônica),#NULO#,217.35
38,174646,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,959594.23
39,174646,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,#NULO#,62000
40,174646,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,87000
41,174646,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,222000
42,174646,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,16655.35
43,174646,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,109550
44,174646,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,3750000
45,174646,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,95179.12
46,174646,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,666660
47,1160508,camara,2018,DEPUTADO FEDERAL,Apartamento,"APARTAMENTO 1103 NA ALAMEDA PIATA, COND. VALE DAS FLORES, N 17, CAMPINAS DE BROTAS COM AREA CONSTRUIDA DE 87,68M2, ADQUIRIDO DA BARRETO DE ARAUJO IMOB. S/A E FINANC. PELO BANEB IMOB S/A",123998.37
48,1160508,camara,2018,DEPUTADO FEDERAL,Terreno,PROPRIEDADE RURAL - FAZENDA NOVA FLORENCA (147). MORRO DO CHAPEU-BA- HERANÇA PATERNA (Atualizado em 2018).,250000
49,1160508,camara,2018,DEPUTADO FEDERAL,Consórcio não contemplado,"CONSORCIO DE AUTOMOVEIS, 65 meses.",11745.34
50,1136811,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","VEICULO FORD FIESTA 1.6 ANO 2014/15 COR PRETA, PLACA MKH 7552",34192
51,1136811,camara,2018,DEPUTADO FEDERAL,Terra nua,UMA FRAÇÃO DE CAMPO DE 100 HA. SITUADO NO DISTRITO DE JOCA TAVARES- BAGÉ-RS,439051.32
52,1136811,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,SALDO CONTA POUPANÇA BANCO BRASIL,14523.23
53,1136811,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,SALDO CTA BB - UNIVERSITÁRIA EM NOME DE SEU FILHO ANDRE BOZZETTO EBERT HAMM,47.53
54,1136811,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,SALDO 5% QUOTAS DA EMPRESA TH CONSULTORIA - CNPJ 17.747777/0001-17,50
55,1136811,camara,2018,DEPUTADO FEDERAL,Terra nua,"01 ÁREA DE 111,01 HA DE CAMPO ADQ. DISTRITO DE JOCA TAVARES - MATR 32675",127869.83
56,1136811,camara,2018,DEPUTADO FEDERAL,Linha telefônica,01 LINHA TELEFÔNICA,2103
57,1136811,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",SALDO APLICAÇÃO OUROCAP - BCA BRASIL,23760.78
58,1136811,camara,2018,DEPUTADO FEDERAL,Terra nua,"UMA FRAÇÃO DE CAMPO - 43,71 HEC. LUGAR DENOMINADO FAZENDA DAS CAZUARINAS, DISTRITO DE JOCA TAVARES- BAGÉ/RS",200000
59,1136811,camara,2018,DEPUTADO FEDERAL,Apartamento,"01 APTO - RUA CARLOS MANGABEIRA, 181 - APTO 501 - EDIFICIO VALPARAISO",198016
60,1136811,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",UM VEICULO SAVEIRO CS ST MB  - ANO 2015 MODELO 2016,39703.44
61,1136811,camara,2018,DEPUTADO FEDERAL,Terra nua,"01 ÁREA DE 79,46 HEC. DE CAMPO - DISTRITO JOCA TAVARES - BAGÉ/RS",227000
62,1136811,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,SALDO COTAS COBAGELA,3757
63,1136811,camara,2018,DEPUTADO FEDERAL,Terra nua,"01 ÁREA DE 8,5 HA DE CAMPO ADQ. DISTRITO DE JOCA TAVARES, BAGÉ/RS - MATR. 34496",6500
64,1136811,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","01 VEICULO NEW ECOSPORT/FORD FSL 1.6 - COR BRANCA, ANO 2013/MOD. 2014",58800
65,1136811,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,SALDO CONTA POUPANÇA  BCO BRASIL SA. ROSELE MARIA BOZZETTO,64.86
66,1178835,camara,2018,DEPUTADO FEDERAL,Apartamento,APARTAMENTO EM PORTO ALEGRE- RS,910000
67,1178835,camara,2018,DEPUTADO FEDERAL,Terreno,TERRENO EM CANELA - RS,164600
68,1178835,camara,2018,DEPUTADO FEDERAL,Terra nua,"FRAÇÃO DE TERRAS, ESTABELECIMENTOS RURAIS E TERRENOS URBANOS RECEBIDOS COMO HERANÇA DE SEU IRMÃO FERNANDO ANTUNES DA MOTTA",465518.64
69,1178835,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","CAMINHONETE HYUNDAI SANTA FÉ,PLACA: IWB 0994,CAMINHONETE TOYOTA HILUX,PLACA: IUR 7388,VEICULO AZERA HYUNDAI 3.3,PLACAS: IRP9837, 14,2852%DE UMA CAMIONETE FORD ECOSPORT,HERANÇA DE FERNANDO ANTUNES",336795.8
70,1178835,camara,2018,DEPUTADO FEDERAL,Outros fundos,PARTICIPAÇÕES SOCIETARIAS,10000
71,1178835,camara,2018,DEPUTADO FEDERAL,Terreno,44 FRAÇÕES DE TERRA E ESTABELICIMENTOS RURAIS COM SEMOVENTES E BENS DA ATIVIDADE RURAL,10212284.3
72,1178835,camara,2018,DEPUTADO FEDERAL,Terreno,TERRENO PRAIA DE TORRES- RS,448478.59
73,1178835,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,INVESTIMENTOS EM AÇÕES,160140
74,1178835,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICAÇÕES DE RENDA FIXA,8357609.54
75,1178835,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,DEPÓSITOS EM CONTA CORRENTE,279942.38
76,1160527,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,580000
77,1160527,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,93218.59
78,1160527,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,35000
79,1160527,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,143382.48
80,1160527,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,#NULO#,65000
81,1160527,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,62196
82,1160527,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,150000
83,1160527,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,100000
84,1160527,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,230000
85,1204495,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,"BANCO DO ESTADO DO PARÁ, AG: 26 CC: 282671-2",475.15
86,1204495,camara,2018,DEPUTADO FEDERAL,Apartamento,PAGAMENTO PARCIAL - ED SAINT SEBASTIAN UNIDADE 604 - SANTARÉM - PARÁ,288573.8
87,1204495,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,SICOOB CONTA: 10203-2,4477.48
88,1204495,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO ESTADO DO PARÁ - SICCOB COESA,19340.19
