id_parlamentar_voz,casa,estrelas
1204528,camara,5
1204516,camara,5
1204509,camara,5
1204572,camara,5
1205548,camara,5
174784,camara,5
1156190,camara,5
25924,senado,5
1204383,camara,5
1204535,camara,5
1204464,camara,5
1204532,camara,5
1160592,camara,5
1204477,camara,5
1204561,camara,4
174655,camara,4
1204407,camara,4
1204484,camara,4
173460,camara,4
25627,senado,4
25376,senado,4
176874,camara,4
1204377,camara,4
1193726,camara,4
1204461,camara,4
25012,senado,4
1204530,camara,4
25959,senado,4
25895,senado,4
1204519,camara,4
1204501,camara,3
1160545,camara,3
1178881,camara,3
1133439,camara,3
25967,senado,3
25529,senado,3
1160553,camara,3
1204414,camara,3
1160512,camara,3
1178975,camara,3
1204358,camara,3
1160538,camara,3
1178924,camara,3
1204370,camara,3
1178928,camara,3
25973,senado,3
1204376,camara,3
1204514,camara,3
1141411,camara,3
1204409,camara,3
1204512,camara,3
1204541,camara,3
25953,senado,3
1160587,camara,3
172442,camara,3
1204427,camara,3
1204548,camara,3
1160570,camara,3
1178983,camara,3
1204522,camara,3
1204540,camara,3
1160639,camara,3
1204366,camara,3
1204387,camara,3
1178874,camara,3
1206231,camara,3
1157130,camara,3
1178992,camara,3
1160632,camara,3
1204521,camara,2
1178836,camara,2
25982,senado,2
1204503,camara,2
1178833,camara,2
1178882,camara,2
173696,camara,2
174459,camara,2
1160665,camara,2
1141335,camara,2
1164360,camara,2
1204488,camara,2
1141439,camara,2
1204378,camara,2
1204367,camara,2
181297,camara,2
1161550,camara,2
24525,senado,2
192699,camara,2
174366,camara,2
1204520,camara,2
1204381,camara,2
166179,camara,2
1141523,camara,2
1178961,camara,2
1178947,camara,2
1160610,camara,2
1178889,camara,2
1204485,camara,2
1204554,camara,1
1204379,camara,1
24981,senado,1
1204560,camara,1
1121948,camara,1
174646,camara,1
1160508,camara,1
1136811,camara,1
1178835,camara,1
1160527,camara,1
1204495,camara,1
1204549,camara,1
1160559,camara,1
1204413,camara,1
1204545,camara,1
1160511,camara,1
1178972,camara,1
1204571,camara,1
1204544,camara,1
174057,camara,1
1178927,camara,1
1204353,camara,1
1204400,camara,1
2945,senado,1
1204356,camara,1
1178831,camara,1
174471,camara,1
1204423,camara,1
1204515,camara,1
173433,camara,1
1141391,camara,1
2751,senado,1
1160541,camara,1
1160600,camara,1
174090,camara,1
169871,camara,1
173701,camara,1
1109429,camara,1
1178948,camara,1
1207176,camara,1
1204374,camara,1
1204388,camara,1
1141513,camara,1
1204397,camara,1
174052,camara,1
1204551,camara,1
1204502,camara,1
1160589,camara,1
193083,camara,1
1204352,camara,1
1178829,camara,1
1213762,camara,1
1204507,camara,1
1141401,camara,1
1204361,camara,1
26295,senado,1
1178962,camara,1
1178993,camara,1
1204460,camara,1
174262,camara,1
1204426,camara,1
25990,senado,1
1141398,camara,1
1204369,camara,1
1204499,camara,1
1178876,camara,1
1141405,camara,1
173441,camara,1
1204496,camara,1
1204504,camara,1
1205476,camara,1
1204490,camara,1
2470,senado,1
1204476,camara,1
1204462,camara,1
1204440,camara,1
2739,senado,1
1178939,camara,1
174537,camara,1
1141408,camara,1
2475,senado,1
1135054,camara,1
1204355,camara,1
174467,camara,1
174060,camara,1
1178916,camara,1
1204454,camara,1
1204459,camara,1
25998,senado,1
1160528,camara,1
162881,camara,1
1160552,camara,1
1116379,camara,1
25537,senado,1
23830,senado,1
1204511,camara,1
1204451,camara,1
1178908,camara,1
1204569,camara,1
1164359,camara,1
1204542,camara,1
1213856,camara,1
1160588,camara,1
1178929,camara,1
1160599,camara,1
1143632,camara,1
1160758,camara,1
1204518,camara,1
1204481,camara,1
1213679,camara,1
1204439,camara,1
1204351,camara,1
1178830,camara,1
1204412,camara,1
1204434,camara,1
1178994,camara,1
1204562,camara,1
1141417,camara,1
1134812,camara,1
1204421,camara,1
192346,camara,1
24994,senado,1
1204552,camara,1
1204500,camara,1
1178977,camara,1
1141421,camara,1
25976,senado,1
23777,senado,1
1141422,camara,1
174075,camara,1
1204364,camara,1
1160532,camara,1
1204389,camara,1
25718,senado,1
25531,senado,1
1178854,camara,1
1198783,camara,1
1207309,camara,1
1132504,camara,1
1204537,camara,1
1160575,camara,1
1160640,camara,1
222,senado,1
1204482,camara,1
1178871,camara,1
1178953,camara,1
168720,camara,1
1178969,camara,1
1141427,camara,1
1171623,camara,1
1204368,camara,1
166828,camara,1
1204398,camara,1
1204371,camara,1
1160666,camara,1
25540,senado,1
1141431,camara,1
1204411,camara,1
1204354,camara,1
1160598,camara,1
1141434,camara,1
2345,senado,1
25894,senado,1
1191923,camara,1
1204447,camara,1
1204392,camara,1
1204510,camara,1
1204494,camara,1
1204393,camara,1
174200,camara,1
1115746,camara,1
1160669,camara,1
1204473,camara,1
1204527,camara,1
1178966,camara,1
1204394,camara,1
174383,camara,1
1204575,camara,1
1204491,camara,1
174270,camara,1
1204570,camara,1
1204365,camara,1
1160673,camara,1
1178996,camara,1
1152605,camara,1
1204419,camara,1
1107283,camara,1
174419,camara,1
1198197,camara,1
1204513,camara,1
1204531,camara,1
1160667,camara,1
1204442,camara,1
1204408,camara,1
1204456,camara,1
1204465,camara,1
1178964,camara,1
1178873,camara,1
1204373,camara,1
1178909,camara,1
1204444,camara,1
173482,camara,1
1204539,camara,1
1178981,camara,1
173772,camara,1
1178884,camara,1
1178959,camara,1
1141450,camara,1
1160674,camara,1
25008,senado,1
1204533,camara,1
1204564,camara,1
1204508,camara,1
167138,camara,1
25385,senado,1
1204436,camara,1
173531,camara,1
24770,senado,1
235,senado,1
174848,camara,1
1108338,camara,1
2581,senado,1
24545,senado,1
24531,senado,1
174273,camara,1
