id_proposicao_voz,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,url_votacao
116526,168392211,camara,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-06-17T22:11:00Z,0,NA,0,NA
116526,168391926,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-06-17T19:26:00Z,0,NA,0,NA
116526,169231719,camara,DTQ 9 - NOVO - ART. 25 DO SUBSTITUTIVO,2019-09-11T17:19:00Z,0,NA,0,NA
116526,169231943,camara,DTQ 21 - PCdoB - EMENDA Nº 48,2019-09-11T19:43:00Z,0,NA,0,NA
116526,169242027,camara,DTQ 15 - PSD - EMENDA Nº 36,2019-09-11T20:27:00Z,0,NA,0,NA
116526,169242055,camara,DTQ 13 - REPUBLICANOS - EMENDA Nº 3,2019-09-11T20:55:00Z,0,NA,0,NA
116526,169281834,camara,"DTQ 27 - PDT - EXP. ""... EM PERCENTUAL EQUIVALENTE A ATÉ 30%..."" - ART. 97",2019-09-17T18:34:00Z,0,NA,0,NA
128692,167471911,camara,DTQ. 7 - BL. PDT - §1º DO ART. 2º DA SUBEMENDA SUBSTITUTIVA,2019-03-12T19:11:00Z,0,NA,0,NA
128692,167471744,camara,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-03-12T17:44:00Z,0,NA,0,NA
1358126,170132052,camara,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-12-09T20:52:00Z,0,NA,0,NA
1358126,170142142,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-12-09T21:42:00Z,0,NA,0,NA
1516111,168281245,camara,EMENDA AGLUTINATIVA Nº 1,2019-06-05T12:45:00Z,0,NA,0,NA
1516111,168281334,camara,PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO,2019-06-05T13:34:00Z,0,NA,0,NA
1516111,168281322,camara,EMENDA DE REDAÇÃO Nº 1,2019-06-05T13:22:00Z,0,NA,0,NA
