id_votacao,id_parlamentar_voz,voto
2077621-131,173466,1
2077621-131,173486,-1
2077621-131,173586,-1
2077621-131,174160,-1
2077621-131,174161,-1
2077621-131,174571,-1
2077621-131,198057,1
2077621-131,1116379,1
2077621-131,1137070,1
2077621-131,1141405,1
2077621-131,1141411,-1
2077621-131,1141470,-1
2077621-131,1141488,-1
2077621-131,1146307,1
2077621-131,1157130,-1
2077621-131,1160587,1
2077621-131,1160600,1
2077621-131,1160632,1
2077621-131,1160673,1
2077621-131,1178860,1
2077621-131,1178874,-1
2077621-131,1178930,1
2077621-131,1178939,-1
2077621-131,1178961,3
2077621-131,1178981,1
2077621-131,1178990,1
2077621-131,1179001,1
2077621-131,1193726,1
2077621-131,1204365,1
2077621-131,1204367,1
2077621-131,1204369,1
2077621-131,1204374,1
2077621-131,1204394,-1
2077621-131,1204395,1
2077621-131,1204398,1
2077621-131,1204406,1
2077621-131,1204429,-1
2077621-131,1204430,-1
2077621-131,1204438,1
2077621-131,1204462,1
2077621-131,1204464,-1
2077621-131,1204468,-1
2077621-131,1204472,1
2077621-131,1204479,1
2077621-131,1204501,-1
2077621-131,1204512,1
2077621-131,1204527,1
2077621-131,1204537,1
2077621-131,1204543,-1
2077621-131,1204550,1
2077621-131,1204576,1
2077621-131,1205865,1
2078693-63,173604,1
2078693-63,174317,1
2078693-63,1132504,1
2078693-63,1159237,1
2078693-63,1160508,1
2078693-63,1160635,1
2078693-63,1178858,1
2078693-63,1178871,1
2078693-63,1178933,1
2078693-63,1178952,1
2078693-63,1178977,-1
2078693-63,1178996,-1
2078693-63,1191923,1
2078693-63,1204366,-1
2078693-63,1204381,1
2078693-63,1204389,1
2078693-63,1204440,1
2078693-63,1204461,-1
2078693-63,1204476,1
2078693-63,1204539,1
2078693-63,1204542,1
2078693-63,1204545,-1
2078693-63,1204557,1
2078693-63,1204573,1
2078693-63,1204575,1
2140098-34,166828,1
2140098-34,174305,1
2140098-34,190842,1
2140098-34,1141405,1
2140098-34,1146307,1
2140098-34,1160651,1
2140098-34,1160758,1
2140098-34,1161550,1
2140098-34,1162332,1
2140098-34,1178871,1
2140098-34,1178929,1
2140098-34,1178930,1
2140098-34,1178954,1
2140098-34,1197438,1
2140098-34,1204369,1
2140098-34,1204386,1
2140098-34,1204395,1
2140098-34,1204399,1
2140098-34,1204400,1
2140098-34,1204414,1
2140098-34,1204434,1
2140098-34,1204436,1
2140098-34,1204438,1
2140098-34,1204473,1
2140098-34,1204510,1
2140098-34,1207309,1
2140098-34,1211866,1
2170496-89,173466,1
2170496-89,173486,1
2170496-89,173586,1
2170496-89,173696,1
2170496-89,173801,-1
2170496-89,173891,1
2170496-89,174159,-1
2170496-89,174160,-1
2170496-89,174366,1
2170496-89,174398,-1
2170496-89,174571,-1
2170496-89,175431,1
2170496-89,198057,1
2170496-89,1116379,1
2170496-89,1141405,1
2170496-89,1141470,-1
2170496-89,1141516,1
2170496-89,1146788,1
2170496-89,1160512,1
2170496-89,1160528,1
2170496-89,1160545,1
2170496-89,1160575,-1
2170496-89,1160587,1
2170496-89,1160600,-1
2170496-89,1160642,1
2170496-89,1160651,1
2170496-89,1160669,1
2170496-89,1160673,1
2170496-89,1177282,1
2170496-89,1178835,1
2170496-89,1178860,1
2170496-89,1178874,1
2170496-89,1178908,1
2170496-89,1178927,1
2170496-89,1178939,-1
2170496-89,1178948,1
2170496-89,1178953,1
2170496-89,1178961,1
2170496-89,1178977,1
2170496-89,1178981,1
2170496-89,1178990,1
2170496-89,1193726,1
2170496-89,1204359,1
2170496-89,1204365,1
2170496-89,1204367,1
2170496-89,1204369,1
2170496-89,1204374,1
2170496-89,1204395,1
2170496-89,1204398,1
2170496-89,1204406,1
2170496-89,1204418,1
2170496-89,1204429,-1
2170496-89,1204430,1
2170496-89,1204438,1
2170496-89,1204464,-1
2170496-89,1204479,1
2170496-89,1204501,-1
2170496-89,1204512,1
2170496-89,1204526,1
2170496-89,1204556,1
2170496-89,1204576,1
2170496-89,1205865,1
2170504-45,190842,1
2170504-45,1137070,1
2170504-45,1141450,1
2170504-45,1141488,-1
2170504-45,1160545,1
2170504-45,1178829,1
2170504-45,1178881,1
2170504-45,1204373,1
2170504-45,1204387,1
2170504-45,1204416,1
2170504-45,1204420,1
2170504-45,1204427,1
2170504-45,1204451,1
2170504-45,1204454,1
2170504-45,1204458,1
2170504-45,1204461,-1
2170504-45,1204473,1
2170504-45,1204487,1
2170504-45,1204520,1
2170504-45,1204529,1
2170504-45,1204531,1
2182708-94,173466,1
2182708-94,173486,-1
2182708-94,173696,1
2182708-94,173801,-1
2182708-94,174159,-1
2182708-94,174160,-1
2182708-94,174161,-1
2182708-94,174366,1
2182708-94,174398,-1
2182708-94,198057,1
2182708-94,1116379,1
2182708-94,1137070,1
2182708-94,1141405,1
2182708-94,1141516,1
2182708-94,1141518,1
2182708-94,1146788,1
2182708-94,1160545,1
2182708-94,1160575,-1
2182708-94,1160587,1
2182708-94,1160604,-1
2182708-94,1160642,1
2182708-94,1160651,1
2182708-94,1178829,1
2182708-94,1178835,-1
2182708-94,1178860,1
2182708-94,1178874,-1
2182708-94,1178922,-1
2182708-94,1178953,-1
2182708-94,1178977,1
2182708-94,1178981,1
2182708-94,1178990,1
2182708-94,1193726,1
2182708-94,1204365,1
2182708-94,1204367,1
2182708-94,1204369,1
2182708-94,1204392,1
2182708-94,1204395,1
2182708-94,1204398,1
2182708-94,1204416,1
2182708-94,1204418,1
2182708-94,1204429,-1
2182708-94,1204438,1
2182708-94,1204442,1
2182708-94,1204462,1
2182708-94,1204472,1
2182708-94,1204501,-1
2182708-94,1204512,1
2182708-94,1204526,1
2182708-94,1204536,1
2182708-94,1204541,1
2182708-94,1204556,1
2182708-94,1204576,1
2182708-94,1205865,1
2192459-114,173466,1
2192459-114,173586,-1
2192459-114,173801,-1
2192459-114,174160,-1
2192459-114,174366,1
2192459-114,174398,-1
2192459-114,174571,-1
2192459-114,175431,1
2192459-114,198057,1
2192459-114,1115746,1
2192459-114,1116379,1
2192459-114,1141405,1
2192459-114,1141470,-1
2192459-114,1141488,-1
2192459-114,1141513,1
2192459-114,1141516,1
2192459-114,1146788,1
2192459-114,1160510,1
2192459-114,1160527,1
2192459-114,1160528,-1
2192459-114,1160559,1
2192459-114,1160587,1
2192459-114,1160600,1
2192459-114,1160642,1
2192459-114,1160665,1
2192459-114,1160669,1
2192459-114,1160673,1
2192459-114,1164359,1
2192459-114,1177282,-1
2192459-114,1178835,-1
2192459-114,1178860,1
2192459-114,1178908,1
2192459-114,1178929,1
2192459-114,1178939,-1
2192459-114,1178948,1
2192459-114,1178959,1
2192459-114,1178961,1
2192459-114,1178977,1
2192459-114,1178981,1
2192459-114,1178990,1
2192459-114,1179001,1
2192459-114,1193726,1
2192459-114,1204359,1
2192459-114,1204365,1
2192459-114,1204367,1
2192459-114,1204369,1
2192459-114,1204374,1
2192459-114,1204398,1
2192459-114,1204418,1
2192459-114,1204429,-1
2192459-114,1204430,1
2192459-114,1204438,1
2192459-114,1204464,-1
2192459-114,1204468,-1
2192459-114,1204479,1
2192459-114,1204501,-1
2192459-114,1204512,1
2192459-114,1204527,1
2192459-114,1204537,1
2192459-114,1204541,-1
2192459-114,1204543,-1
2192459-114,1204556,1
2192459-114,1204562,1
2192459-114,1204575,-1
2192459-114,1204576,1
2192459-114,1205865,1
2192459-503,173891,-1
2192459-503,1112437,-1
2192459-503,1116379,-1
2192459-503,1122158,-1
2192459-503,1133810,-1
2192459-503,1141408,-1
2192459-503,1141513,-1
2192459-503,1160570,-1
2192459-503,1160673,-1
2192459-503,1178861,-1
2192459-503,1178871,-1
2192459-503,1178879,-1
2192459-503,1178929,-1
2192459-503,1178934,-1
2192459-503,1178972,-1
2192459-503,1178990,-1
2192459-503,1193726,-1
2192459-503,1204358,-1
2192459-503,1204409,-1
2192459-503,1204411,-1
2192459-503,1204425,-1
2192459-503,1204427,-1
2192459-503,1204452,-1
2192459-503,1204461,-1
2192459-503,1204518,-1
2192459-503,1204532,-1
2192459-503,1204544,-1
2192459-503,1204546,-1
2192459-503,1204548,-1
2192459-503,1204556,-1
2192459-503,1204572,-1
2192459-503,1205865,-1
2192459-741,173482,-1
2192459-741,173891,1
2192459-741,174057,-1
2192459-741,174371,-1
2192459-741,174784,-1
2192459-741,193083,1
2192459-741,1116379,1
2192459-741,1122158,1
2192459-741,1133810,1
2192459-741,1133968,-1
2192459-741,1139285,-1
2192459-741,1141391,1
2192459-741,1160604,-1
2192459-741,1160673,1
2192459-741,1178861,1
2192459-741,1178871,1
2192459-741,1178879,1
2192459-741,1178908,1
2192459-741,1178927,-1
2192459-741,1178929,1
2192459-741,1178934,1
2192459-741,1178975,1
2192459-741,1178990,1
2192459-741,1178992,1
2192459-741,1179587,1
2192459-741,1193726,1
2192459-741,1198197,1
2192459-741,1204369,1
2192459-741,1204381,1
2192459-741,1204383,-1
2192459-741,1204409,1
2192459-741,1204411,1
2192459-741,1204413,1
2192459-741,1204425,1
2192459-741,1204426,-1
2192459-741,1204427,1
2192459-741,1204456,1
2192459-741,1204461,1
2192459-741,1204519,1
2192459-741,1204535,-1
2192459-741,1204544,1
2192459-741,1204546,1
2192459-741,1204556,1
2192459-741,1204561,-1
2192459-741,1204572,1
2192459-741,1204576,1
2192459-741,1205865,1
2205332-41,173891,1
2205332-41,174317,1
2205332-41,192699,1
2205332-41,1151208,1
2205332-41,1159237,1
2205332-41,1178860,1
2205332-41,1178879,1
2205332-41,1178884,1
2205332-41,1178933,1
2205332-41,1178969,1
2205332-41,1191923,1
2205332-41,1204363,-1
2205332-41,1204371,1
2205332-41,1204381,1
2205332-41,1204389,1
2205332-41,1204419,-1
2205332-41,1204440,1
2205332-41,1204461,-1
2205332-41,1204478,1
2205332-41,1204486,1
2205332-41,1204513,-1
2205332-41,1204539,1
2205332-41,1204542,1
2205332-41,1204545,-1
2205332-41,1204573,1
1198512-250,162881,1
1198512-250,166179,1
1198512-250,166828,1
1198512-250,167138,1
1198512-250,168720,1
1198512-250,169871,1
1198512-250,172442,1
1198512-250,173433,1
1198512-250,173441,1
1198512-250,173460,1
1198512-250,173466,1
1198512-250,173482,1
1198512-250,173486,1
1198512-250,173531,1
1198512-250,173586,1
1198512-250,173604,1
1198512-250,173692,1
1198512-250,173696,1
1198512-250,173701,1
1198512-250,173772,1
1198512-250,173788,1
1198512-250,173801,1
1198512-250,173808,1
1198512-250,173943,1
1198512-250,174043,1
1198512-250,174044,1
1198512-250,174052,1
1198512-250,174057,1
1198512-250,174060,1
1198512-250,174075,1
1198512-250,174079,1
1198512-250,174090,1
1198512-250,174156,1
1198512-250,174158,1
1198512-250,174159,1
1198512-250,174160,1
1198512-250,174161,1
1198512-250,174200,1
1198512-250,174262,1
1198512-250,174270,1
1198512-250,174273,1
1198512-250,174283,1
1198512-250,174299,1
1198512-250,174317,1
1198512-250,174352,1
1198512-250,174356,1
1198512-250,174366,1
1198512-250,174371,1
1198512-250,174376,1
1198512-250,174383,1
1198512-250,174398,1
1198512-250,174400,1
1198512-250,174419,1
1198512-250,174439,1
1198512-250,174459,1
1198512-250,174467,1
1198512-250,174471,1
1198512-250,174478,1
1198512-250,174537,1
1198512-250,174554,1
1198512-250,174574,1
1198512-250,174585,1
1198512-250,174646,1
1198512-250,174655,1
1198512-250,174693,1
1198512-250,174749,1
1198512-250,174784,1
1198512-250,174806,1
1198512-250,174848,1
1198512-250,175431,1
1198512-250,176874,1
1198512-250,181055,1
1198512-250,181297,1
1198512-250,190201,1
1198512-250,190842,1
1198512-250,192102,1
1198512-250,192346,1
1198512-250,192699,1
1198512-250,192776,1
1198512-250,193083,1
1198512-250,198057,1
1198512-250,1107283,1
1198512-250,1108338,1
1198512-250,1109429,1
1198512-250,1112437,1
1198512-250,1115746,1
1198512-250,1116379,1
1198512-250,1121948,1
1198512-250,1122158,1
1198512-250,1122974,1
1198512-250,1128760,1
1198512-250,1132504,1
1198512-250,1133439,1
1198512-250,1133810,1
1198512-250,1133968,1
1198512-250,1134812,1
1198512-250,1135054,1
1198512-250,1136811,1
1198512-250,1137070,1
1198512-250,1139285,1
1198512-250,1141335,1
1198512-250,1141391,1
1198512-250,1141398,1
1198512-250,1141401,1
1198512-250,1141405,1
1198512-250,1141411,1
1198512-250,1141417,1
1198512-250,1141421,1
1198512-250,1141422,1
1198512-250,1141427,1
1198512-250,1141431,1
1198512-250,1141434,1
1198512-250,1141439,1
1198512-250,1141450,1
1198512-250,1141458,1
1198512-250,1141459,1
1198512-250,1141464,1
1198512-250,1141470,1
1198512-250,1141488,1
1198512-250,1141508,1
1198512-250,1141513,1
1198512-250,1141516,1
1198512-250,1141518,1
1198512-250,1141523,1
1198512-250,1141531,1
1198512-250,1141553,1
1198512-250,1141555,1
1198512-250,1143084,1
1198512-250,1143632,1
1198512-250,1146307,1
1198512-250,1146788,1
1198512-250,1150418,1
1198512-250,1151208,1
1198512-250,1152605,1
1198512-250,1152610,1
1198512-250,1154178,1
1198512-250,1156190,1
1198512-250,1157130,1
1198512-250,1160508,1
1198512-250,1160510,1
1198512-250,1160511,1
1198512-250,1160512,1
1198512-250,1160518,1
1198512-250,1160527,1
1198512-250,1160528,1
1198512-250,1160531,1
1198512-250,1160532,1
1198512-250,1160534,1
1198512-250,1160535,1
1198512-250,1160538,1
1198512-250,1160541,1
1198512-250,1160545,1
1198512-250,1160552,1
1198512-250,1160553,1
1198512-250,1160556,1
1198512-250,1160558,1
1198512-250,1160559,1
1198512-250,1160569,1
1198512-250,1160570,1
1198512-250,1160575,1
1198512-250,1160587,1
1198512-250,1160588,1
1198512-250,1160589,1
1198512-250,1160591,1
1198512-250,1160592,1
1198512-250,1160598,1
1198512-250,1160599,1
1198512-250,1160600,1
1198512-250,1160601,1
1198512-250,1160604,1
1198512-250,1160610,1
1198512-250,1160619,1
1198512-250,1160632,1
1198512-250,1160635,1
1198512-250,1160639,1
1198512-250,1160640,1
1198512-250,1160641,1
1198512-250,1160645,1
1198512-250,1160651,1
1198512-250,1160653,1
1198512-250,1160655,1
1198512-250,1160665,1
1198512-250,1160666,1
1198512-250,1160667,1
1198512-250,1160669,1
1198512-250,1160673,1
1198512-250,1160674,1
1198512-250,1160758,1
1198512-250,1160976,1
1198512-250,1161550,1
1198512-250,1162332,1
1198512-250,1164359,1
1198512-250,1164360,1
1198512-250,1171617,1
1198512-250,1171619,1
1198512-250,1171623,1
1198512-250,1177282,1
1198512-250,1178829,1
1198512-250,1178830,1
1198512-250,1178831,1
1198512-250,1178832,1
1198512-250,1178833,1
1198512-250,1178835,1
1198512-250,1178836,1
1198512-250,1178839,1
1198512-250,1178842,1
1198512-250,1178843,1
1198512-250,1178854,1
