id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1204554,camara,2018,BA,36793,50345,6868013
1204521,camara,2018,SP,36837,69256,21104181
1204379,camara,2018,AP,36763,19111,364871
1204560,camara,2018,BA,36835,102603,6868013
1204528,camara,2018,SP,37901,64341,21104181
1121948,camara,2018,GO,37903,77729,3031194
174646,camara,2018,MG,36835,106702,10078120
1160508,camara,2018,BA,36844,130548,6868013
1136811,camara,2018,RS,37903,100018,5845077
1178835,camara,2018,RS,36786,65712,5845077
1160527,camara,2018,PB,37903,120220,1989377
1204495,camara,2018,PA,36844,106965,3956457
1204549,camara,2018,CE,37903,132319,4594520
1178836,camara,2018,AC,36769,22263,424991
1160559,camara,2018,RS,36899,100341,5845077
1204413,camara,2018,GO,36824,64941,3031194
1204545,camara,2018,MG,36837,48043,10078120
1204501,camara,2018,SP,36844,67892,21104181
1160511,camara,2018,RJ,36832,227914,7720770
1178972,camara,2018,SP,37905,127366,21104181
1204571,camara,2018,BA,36786,62922,6868013
1204544,camara,2018,SP,36837,155522,21104181
1160545,camara,2018,SP,36769,116416,21104181
1204503,camara,2018,SP,36844,87576,21104181
1178833,camara,2018,RJ,36834,37526,7720770
1204516,camara,2018,SP,37901,45298,21104181
174057,camara,2018,BA,36779,126595,6868013
1178927,camara,2018,PR,36832,95386,5731922
1204353,camara,2018,AP,36815,16519,364871
1204400,camara,2018,PR,36837,33628,5731922
1178937,camara,2018,RJ,37906,55367,7720770
1178881,camara,2018,MA,36896,105778,3270678
1204356,camara,2018,ES,36815,181813,1933018
1178831,camara,2018,AP,37903,12856,364871
174471,camara,2018,PE,36834,118641,4331764
1204423,camara,2018,PE,36833,175834,4331764
1133439,camara,2018,CE,36786,103385,4594520
1178882,camara,2018,MA,37903,105606,3270678
1204515,camara,2018,MG,36898,178660,10078120
173696,camara,2018,SC,37903,86189,3548458
174212,camara,2018,CE,36769,78930,4594520
1160553,camara,2018,BA,36834,127716,6868013
173433,camara,2018,SP,36844,87449,21104181
1141391,camara,2018,SP,37905,132363,21104181
1204414,camara,2018,PR,36815,52572,5731922
1160541,camara,2018,AL,37903,143858,1458674
1160600,camara,2018,BA,36769,88908,6868013
1159237,camara,2018,PI,36844,129623,1787802
174090,camara,2018,AM,37903,118700,1762933
174459,camara,2018,PI,36832,54095,1787802
1160665,camara,2018,PE,36765,77817,4331764
1204509,camara,2018,MG,36839,162740,10078120
1160512,camara,2018,RJ,36765,68414,7720770
169871,camara,2018,BA,36896,149274,6868013
1178975,camara,2018,SP,36899,214042,21104181
173701,camara,2018,RJ,36844,44804,7720770
1109429,camara,2018,RN,36846,125841,1609833
1141335,camara,2018,PA,36844,143822,3956457
1204358,camara,2018,MS,36835,80500,1240027
1178948,camara,2018,RN,37903,71092,1609833
1207176,camara,2018,MS,36835,17834,1240027
1204374,camara,2018,DF,36824,86415,1439876
1204388,camara,2018,RS,36837,91664,5845077
1141513,camara,2018,MG,36769,87683,10078120
1204561,camara,2018,MA,36832,99598,3270678
1204397,camara,2018,PR,36763,90158,5731922
1160538,camara,2018,RS,36844,102964,5845077
174052,camara,2018,SE,37906,47788,998669
1204551,camara,2018,AM,36765,55477,1762933
1204502,camara,2018,SP,36837,78712,21104181
1160589,camara,2018,SP,36835,126847,21104181
193083,camara,2018,BA,37903,106592,6868013
1178853,camara,2018,BA,36844,124647,6868013
1204352,camara,2018,AP,36832,24987,364871
1204572,camara,2018,AM,36815,107168,1762933
1178829,camara,2018,SP,37906,242327,21104181
1178924,camara,2018,PI,37906,132719,1787802
1204487,camara,2018,CE,36763,303593,4594520
1213762,camara,2018,RN,36763,60590,1609833
1204507,camara,2018,SP,36837,76306,21104181
1141401,camara,2018,MT,36899,59155,1481262
1204361,camara,2018,SC,36899,97613,3548458
1178962,camara,2018,RS,36815,103373,5845077
1178993,camara,2018,TO,36769,48012,715942
1204460,camara,2018,RJ,36837,204048,7720770
174262,camara,2018,SP,36835,125666,21104181
1204426,camara,2018,PE,36844,72005,4331764
1141398,camara,2018,SP,36844,137909,21104181
1164360,camara,2018,SC,37905,84703,3548458
1204369,camara,2018,SC,36837,109363,3548458
1204499,camara,2018,PA,36832,130768,3956457
1204380,camara,2018,DF,37903,31610,1439876
1204370,camara,2018,TO,36844,18167,715942
1178876,camara,2018,GO,36835,70663,3031194
1204488,camara,2018,CE,36851,208854,4594520
1141405,camara,2018,SC,36899,80086,3548458
173441,camara,2018,SP,36815,521728,21104181
1204496,camara,2018,PA,36835,146288,3956457
1204504,camara,2018,SP,36834,119024,21104181
1205476,camara,2018,BA,36834,74116,6868013
1204490,camara,2018,MG,36837,51626,10078120
1141439,camara,2018,RJ,36786,26417,7720770
1204476,camara,2018,RJ,36898,25817,7720770
1204462,camara,2018,RJ,36837,38525,7720770
1178928,camara,2018,PR,37906,107636,5731922
1204440,camara,2018,RJ,37903,47101,7720770
1178939,camara,2018,RJ,36763,35131,7720770
174537,camara,2018,BA,37903,104322,6868013
1141408,camara,2018,MA,36815,101806,3270678
1204376,camara,2018,SC,36837,60069,3548458
1204378,camara,2018,RO,36837,28344,783305
1204514,camara,2018,SP,36837,98373,21104181
1178963,camara,2018,RS,37903,102063,5845077
1135054,camara,2018,PA,37906,176812,3956457
1204355,camara,2018,ES,37905,74787,1933018
1141411,camara,2018,MS,36786,40233,1240027
174467,camara,2018,PB,36786,100876,1989377
174060,camara,2018,BA,36779,114213,6868013
1178916,camara,2018,PE,37905,97745,4331764
1204367,camara,2018,SC,36837,142571,3548458
1204454,camara,2018,RJ,36837,31789,7720770
1204409,camara,2018,RS,36835,74789,5845077
1204459,camara,2018,RJ,36899,136286,7720770
1160528,camara,2018,PE,36832,91635,4331764
162881,camara,2018,CE,36835,55910,4594520
1160552,camara,2018,RS,36834,102662,5845077
1116379,camara,2018,SC,36834,68130,3548458
173891,camara,2018,RS,36899,38819,5845077
1205548,camara,2018,RJ,36839,17356,7720770
1204511,camara,2018,SP,36769,99865,21104181
1204451,camara,2018,RJ,36837,104211,7720770
1178908,camara,2018,PA,36834,145653,3956457
1204512,camara,2018,MG,36837,58176,10078120
1204569,camara,2018,AM,36837,151649,1762933
1164359,camara,2018,GO,36837,274406,3031194
1204542,camara,2018,CE,36832,106294,4594520
1213856,camara,2018,CE,36763,14544,4594520
1160588,camara,2018,MG,36834,105803,10078120
1178929,camara,2018,PR,36896,103154,5731922
1160599,camara,2018,MG,37903,74223,10078120
1143632,camara,2018,CE,36834,111154,4594520
1160758,camara,2018,MG,36835,80990,10078120
1213854,camara,2018,CE,36763,20625,4594520
1204518,camara,2018,MG,37907,60950,10078120
1212625,camara,2018,MA,36898,56162,3270678
