id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
62881,camara,2020,0,0,30,30
66179,camara,2019,9,0,107,98
66179,camara,2020,2,0,78,76
66828,camara,2019,11,8,107,88
66828,camara,2020,1,1,78,76
67138,camara,2019,11,7,107,89
67138,camara,2020,2,1,78,75
68720,camara,2019,0,0,107,107
68720,camara,2020,1,0,78,77
69871,camara,2019,1,10,107,96
69871,camara,2020,2,1,78,75
72442,camara,2019,7,14,107,86
72442,camara,2020,0,1,78,77
73433,camara,2019,5,0,107,102
73433,camara,2020,2,0,78,76
73441,camara,2019,3,3,107,101
73441,camara,2020,2,0,78,76
73460,camara,2019,2,0,107,105
73460,camara,2020,0,0,78,78
73466,camara,2020,1,0,78,77
73482,camara,2019,4,0,107,103
73482,camara,2020,0,2,78,76
73486,camara,2019,11,3,107,93
73486,camara,2020,2,4,78,72
73531,camara,2019,6,0,107,101
73531,camara,2020,2,0,78,76
73586,camara,2019,8,1,107,98
73586,camara,2020,2,0,78,76
73604,camara,2019,0,1,107,106
73604,camara,2020,3,0,78,75
73692,camara,2019,0,0,1,1
73692,camara,2020,2,0,73,71
73696,camara,2019,15,0,107,92
73696,camara,2020,0,0,78,78
73701,camara,2019,5,3,107,99
73701,camara,2020,2,0,78,76
73772,camara,2019,0,0,107,107
73772,camara,2020,2,1,78,75
73788,camara,2019,6,8,107,93
73788,camara,2020,5,1,78,72
73801,camara,2019,0,5,107,102
73801,camara,2020,2,0,78,76
73808,camara,2019,5,6,41,30
73808,camara,2020,1,2,78,75
73891,camara,2019,14,2,106,90
73891,camara,2020,0,0,5,5
73943,camara,2019,2,2,107,103
73943,camara,2020,1,0,78,77
74043,camara,2019,23,1,107,83
74043,camara,2020,24,0,78,54
74044,camara,2019,1,0,107,106
74044,camara,2020,3,0,76,73
74052,camara,2019,7,2,107,98
74052,camara,2020,0,0,78,78
74057,camara,2019,3,1,107,103
74057,camara,2020,1,1,78,76
74060,camara,2019,12,1,107,94
74060,camara,2020,1,0,78,77
74075,camara,2019,31,10,107,66
74075,camara,2020,13,0,78,65
74079,camara,2019,11,31,107,65
74079,camara,2020,2,4,78,72
74090,camara,2019,17,3,107,87
74090,camara,2020,6,1,78,71
74141,camara,2019,4,3,14,7
74156,camara,2019,7,3,107,97
74156,camara,2020,0,0,78,78
74158,camara,2019,13,0,107,94
74158,camara,2020,6,0,78,72
74159,camara,2019,6,0,107,101
74159,camara,2020,1,0,78,77
74160,camara,2019,10,9,107,88
74160,camara,2020,1,0,78,77
74161,camara,2019,1,4,107,102
74161,camara,2020,0,0,78,78
74200,camara,2019,8,1,94,85
74200,camara,2020,1,1,72,70
74212,camara,2019,6,2,38,30
74262,camara,2019,19,0,107,88
74262,camara,2020,3,0,78,75
74270,camara,2019,5,1,107,101
74270,camara,2020,3,1,78,74
74273,camara,2019,17,4,105,84
74273,camara,2020,0,0,57,57
74283,camara,2019,10,1,107,96
74283,camara,2020,2,0,78,76
74299,camara,2019,6,1,107,100
74299,camara,2020,0,1,78,77
74305,camara,2019,17,13,107,77
74305,camara,2020,4,2,48,42
74317,camara,2019,10,1,107,96
74317,camara,2020,1,0,78,77
74319,camara,2019,1,1,57,55
74319,camara,2020,1,0,44,43
74352,camara,2019,4,10,107,93
74352,camara,2020,14,1,78,63
74356,camara,2019,11,9,107,87
74356,camara,2020,5,2,78,71
74366,camara,2019,20,6,107,81
74366,camara,2020,1,0,78,77
74371,camara,2020,1,2,78,75
74376,camara,2019,7,3,107,97
74376,camara,2020,1,0,78,77
74383,camara,2019,42,0,107,65
74383,camara,2020,4,0,78,74
74398,camara,2019,12,0,107,95
74398,camara,2020,1,1,78,76
74399,camara,2019,0,0,7,7
74400,camara,2019,15,0,107,92
74400,camara,2020,2,1,78,75
74419,camara,2019,17,2,107,88
74419,camara,2020,4,0,78,74
74439,camara,2019,0,7,107,100
74439,camara,2020,2,0,78,76
74459,camara,2019,2,4,107,101
74459,camara,2020,1,0,78,77
74467,camara,2019,3,3,107,101
74467,camara,2020,2,0,78,76
74471,camara,2019,4,0,107,103
74471,camara,2020,1,1,78,76
74478,camara,2019,39,0,107,68
74478,camara,2020,8,0,78,70
74537,camara,2019,20,1,107,86
74537,camara,2020,1,0,78,77
74554,camara,2019,18,3,107,86
74554,camara,2020,6,1,78,71
74571,camara,2019,8,1,100,91
74574,camara,2019,3,0,74,71
74574,camara,2020,0,0,78,78
74585,camara,2019,0,0,107,107
74585,camara,2020,0,0,78,78
74646,camara,2019,23,0,107,84
74646,camara,2020,4,0,78,74
74655,camara,2019,6,0,107,101
74655,camara,2020,1,0,78,77
74693,camara,2019,9,0,107,98
74693,camara,2020,1,0,78,77
74749,camara,2019,4,7,107,96
74749,camara,2020,2,2,78,74
74784,camara,2019,23,0,107,84
74784,camara,2020,1,0,78,77
74806,camara,2020,0,0,43,43
74848,camara,2019,17,0,107,90
74848,camara,2020,1,0,78,77
75431,camara,2019,12,0,107,95
75431,camara,2020,3,0,78,75
76874,camara,2019,2,3,107,102
76874,camara,2020,1,0,78,77
81055,camara,2019,6,7,107,94
81055,camara,2020,1,0,78,77
81297,camara,2019,0,0,107,107
81297,camara,2020,1,0,78,77
90201,camara,2019,9,2,107,96
90201,camara,2020,0,0,78,78
90842,camara,2019,5,0,104,99
90842,camara,2020,0,0,78,78
92102,camara,2019,4,3,107,100
92102,camara,2020,2,1,78,75
92346,camara,2019,21,3,107,83
92346,camara,2020,2,2,78,74
92699,camara,2019,8,5,107,94
92699,camara,2020,4,3,78,71
92776,camara,2019,7,3,107,97
92776,camara,2020,2,2,78,74
93083,camara,2019,0,11,107,96
93083,camara,2020,1,0,78,77
98057,camara,2019,7,0,107,100
98057,camara,2020,1,1,78,76
107283,camara,2019,27,0,107,80
107283,camara,2020,6,0,78,72
108338,camara,2019,14,0,107,93
108338,camara,2020,0,1,78,77
109429,camara,2019,5,1,107,101
109429,camara,2020,0,2,78,76
112437,camara,2019,11,1,107,95
112437,camara,2020,8,0,78,70
115746,camara,2019,3,2,107,102
115746,camara,2020,5,1,78,72
116379,camara,2019,2,0,107,105
116379,camara,2020,0,1,70,69
121948,camara,2019,1,0,107,106
121948,camara,2020,1,0,78,77
122158,camara,2019,10,3,107,94
122158,camara,2020,3,0,78,75
122466,camara,2019,3,0,27,24
122466,camara,2020,0,0,16,16
122974,camara,2019,11,0,107,96
122974,camara,2020,5,0,78,73
128760,camara,2020,4,1,68,63
132504,camara,2019,13,0,107,94
132504,camara,2020,5,0,78,73
