id_proposicao,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,orientacao,url_votacao
2076877,2076877-43,camara,"Parecer do Relator, Dep. Paulo Azi (DEM-BA), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo...",2019-12-17 12:54:08,0,NA,0,-1,NA
2077621,2077621-131,camara,"Parecer do Relator, Dep. Pedro Lupion (DEM-PR), pela admissibilidade desta e pela inadmissibilidade da PEC 343/2017, apensada.",2019-08-27 21:04:50,0,NA,0,-1,NA
2078693,2078693-63,camara,"Parecer do Relator, Dep. Júlio Cesar (PSD-PI), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não caben...",2019-09-11 11:59:18,0,NA,0,-1,NA
2082972,2082972-35,camara,"Parecer do Relator, Dep. Glaustin Fokus (PSC-GO), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não ca...",2019-12-17 12:22:00,0,NA,0,-1,NA
2083667,2083667-34,camara,"Parecer do Relator, Dep. Sanderson (PSL-RS), pela constitucionalidade, juridicidade e técnica legislativa e, no mérito, pela aprovação.",2019-10-02 19:38:08,0,NA,0,-1,NA
2140098,2140098-34,camara,"Parecer do Relator, Dep. Celso Maldaner (MDB-SC), pela aprovação.",2019-09-11 12:36:09,0,NA,0,1,NA
2149654,2149654-56,camara,"Apresentado Requerimento de Retirada de Pauta, de autoria do Deputado José Medeiros.",2019-12-10 15:37:30,0,NA,0,-1,NA
2166557,2166557-50,camara,"Apresentado Requerimento de Retirada de Pauta, de autoria do Deputado Gilson Marques.",2019-11-05 17:01:49,0,NA,0,1,NA
2168603,2168603-56,camara,"Parecer do Relator, Dep. Sergio Souza (MDB-PR), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabe...",2019-09-11 12:46:18,0,NA,0,-1,NA
2170496,2170496-89,camara,"Parecer com Complementação de Voto, CVO 2 CCJC, Dep. Caroline de Toni (PSL-SC), pela admissibilidade da Proposta de Emenda à Constituição nº 199/20...",2019-11-20 16:46:31,0,NA,0,1,NA
2170504,2170504-45,camara,"Parecer do Relator, Dep. Alexandre Leite (DEM-SP), pela aprovação deste, e do PL 10379/2018, apensado, com substitutivo.",2019-11-06 19:09:34,0,NA,0,1,NA
