id_proposicao,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,orientacao,url_votacao
16526,16526-506,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Augusto Coutinho (SOLIDARI-PE), pela Comissão Especial, que conclui pela constitucional...",2019-06-17T19:44:11Z,0,NA,0,-1,NA
16526,16526-556,camara,"Apresentação do Requerimento n. 2359/2019, pelo Deputado Luizão Goulart (REPUBLIC/PR), que ""'Requer a inclusão do PL 1.292/95 na Ordem do Dia'. 

"".",2019-09-11T17:35:07Z,0,NA,0,-1,NA
16526,16526-572,camara,"Apresentação do Requerimento n. 2359/2019, pelo Deputado Luizão Goulart (REPUBLIC/PR), que ""'Requer a inclusão do PL 1.292/95 na Ordem do Dia'. 

"".",2019-09-11T19:52:06Z,0,NA,0,-1,NA
16526,16526-582,camara,"Apresentação do Requerimento n. 2359/2019, pelo Deputado Luizão Goulart (REPUBLIC/PR), que ""'Requer a inclusão do PL 1.292/95 na Ordem do Dia'. 

"".",2019-09-11T21:05:21Z,0,NA,0,1,NA
16526,16526-596,camara,"Apresentação do Requerimento n. 2359/2019, pelo Deputado Luizão Goulart (REPUBLIC/PR), que ""'Requer a inclusão do PL 1.292/95 na Ordem do Dia'. 

"".",2019-09-17T18:51:45Z,0,NA,0,1,NA
1672576,1672576-101,camara,"Apresentação do Requerimento de Inclusão na Ordem do Dia n. 496/2019, pelo Deputado Enéias Reis (PSL-MG), que: ""Requer a inclusão na Ordem do Dia d...",2019-03-19T19:30:02Z,0,NA,0,-1,NA
1672576,1672576-109,camara,"Apresentação do Requerimento de Inclusão na Ordem do Dia n. 496/2019, pelo Deputado Enéias Reis (PSL-MG), que: ""Requer a inclusão na Ordem do Dia d...",2019-03-19T21:17:28Z,0,NA,0,1,NA
1672576,1672576-124,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T17:28:53Z,0,NA,0,-1,NA
1672576,1672576-128,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T17:47:36Z,0,NA,0,-1,NA
1672576,1672576-133,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T18:35:07Z,0,NA,0,-1,NA
1672576,1672576-136,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T19:12:24Z,0,NA,0,1,NA
1672576,1672576-141,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T19:49:48Z,0,NA,0,5,NA
1672576,1672576-147,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T20:12:17Z,0,NA,0,-1,NA
1672576,1672576-150,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T20:35:40Z,0,NA,0,-1,NA
1672576,1672576-153,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-20T21:12:21Z,0,NA,0,-1,NA
1672576,1672576-193,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Paulo Azi (DEM-BA), pela Comissão Especial, que conclui pela constitucionalidade, jurid...",2019-03-26T20:34:35Z,0,NA,0,1,NA
2076877,2076877-43,camara,"Parecer do Relator, Dep. Paulo Azi (DEM-BA), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo...",2019-12-17T12:54:08Z,0,NA,0,-1,NA
2077621,2077621-131,camara,"Parecer do Relator, Dep. Pedro Lupion (DEM-PR), pela admissibilidade desta e pela inadmissibilidade da PEC 343/2017, apensada.",2019-08-27T21:04:50Z,0,NA,0,-1,NA
2078693,2078693-63,camara,"Parecer do Relator, Dep. Júlio Cesar (PSD-PI), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não caben...",2019-09-11T11:59:18Z,0,NA,0,-1,NA
2082972,2082972-35,camara,"Parecer do Relator, Dep. Glaustin Fokus (PSC-GO), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não ca...",2019-12-17T12:22:00Z,0,NA,0,-1,NA
2083376,2083376-47,camara,"Apresentação do Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais n. 379/2016, pela Comissão de Relações Exteriores e de D...",2019-02-14T10:54:26Z,0,NA,0,-1,NA
2083376,2083376-58,camara,"Apresentação do Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais n. 379/2016, pela Comissão de Relações Exteriores e de D...",2019-02-21T10:57:11Z,0,NA,0,-1,NA
2083667,2083667-34,camara,"Parecer do Relator, Dep. Sanderson (PSL-RS), pela constitucionalidade, juridicidade e técnica legislativa e, no mérito, pela aprovação.",2019-10-02T19:38:08Z,0,NA,0,-1,NA
2136580,2136580-62,camara,"Parecer à Emenda de Plenário proferido pelo Relator, Dep. Ricardo Barros (PP-PR), pela Comissão de Constituição e Justiça e de Cidadania, que concl...",2019-08-14T22:22:01Z,0,NA,0,-1,NA
2140098,2140098-34,camara,"Parecer do Relator, Dep. Celso Maldaner (MDB-SC), pela aprovação.",2019-09-11T12:36:09Z,0,NA,0,1,NA
2147241,2147241-38,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T16:47:39Z,0,NA,0,-1,NA
2147241,2147241-44,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T17:48:01Z,0,NA,0,-1,NA
2147241,2147241-47,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T18:27:41Z,0,NA,0,-1,NA
2147241,2147241-51,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T19:24:30Z,0,NA,0,1,NA
2147241,2147241-54,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T19:48:34Z,0,NA,0,-1,NA
2147241,2147241-60,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-07-09T20:48:08Z,0,NA,0,1,NA
2147241,2147241-66,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-08-20T22:45:43Z,0,NA,0,1,NA
2147241,2147241-72,camara,"Parecer proferido em Plenário pelo Relator, Dep. Efraim Filho (DEM-PB), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade ...",2019-08-20T23:25:17Z,0,NA,0,5,NA
2149654,2149654-56,camara,"Apresentado Requerimento de Retirada de Pauta, de autoria do Deputado José Medeiros.",2019-12-10T15:37:30Z,0,NA,0,-1,NA
2158536,2158536-10,camara,"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 7516/2017, pelo Deputado Fábio Ramalho (PMDB-MG), que: ""Requer a urgência para a tra...",2019-07-09T15:18:54Z,0,NA,0,1,NA
2158716,2158716-112,camara,"Apresentação do Requerimento n. 2604/2019, pela Deputada Aline Gurgel (REPUBLIC/AP), que ""REQUERIMENTO Nº                         DE 2019
(da Sra. ...",2019-10-09T23:25:40Z,0,NA,0,1,NA
2158716,2158716-139,camara,"Apresentação do Requerimento n. 2764/2019, pelo Deputado Léo Moraes (PODE/RO), que ""Requer a inclusão na Ordem do Dia da Proposta de Emenda à Const...",2019-11-06T23:30:44Z,0,NA,0,1,NA
2158716,2158716-143,camara,"Apresentação do Requerimento n. 2764/2019, pelo Deputado Léo Moraes (PODE/RO), que ""Requer a inclusão na Ordem do Dia da Proposta de Emenda à Const...",2019-11-07T00:00:21Z,0,NA,0,-1,NA
2160860,2160860-165,camara,"Parecer Reformulado de Plenário pelo Relator, Dep. Walter Ihoshi (PSD-SP), pela Comissão Especial, para modificações no Substitutivo apresentado.",2019-02-19T18:58:41Z,0,NA,0,-1,NA
